"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can not login with empty required fields","2874","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 15:01:22 GMT 2025","passed","Wed Jul 09 15:01:25 GMT 2025","TestUser","test_user","",""
"Can edit note for authed user","6323","test_update_note","tests","Wed Jul 09 14:58:58 GMT 2025","passed","Wed Jul 09 14:59:05 GMT 2025","TestNotes","test_notes","",""
"Can get the note by note ID for authed user","3589","test_get_note_by_id","tests","Wed Jul 09 14:57:53 GMT 2025","passed","Wed Jul 09 14:57:57 GMT 2025","TestNotes","test_notes","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","2167","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Wed Jul 09 14:59:25 GMT 2025","passed","Wed Jul 09 14:59:27 GMT 2025","TestUser","test_user","",""
"Can login with valid credentials","11042","test_auth_user","tests","Wed Jul 09 15:00:00 GMT 2025","passed","Wed Jul 09 15:00:11 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","1439","test_create_user_with_empty_required_field[name-User name must be between 4 and 30 characters]","tests","Wed Jul 09 14:59:12 GMT 2025","passed","Wed Jul 09 14:59:14 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","2317","test_create_user_with_too_short_or_long_password[12345]","tests","Wed Jul 09 14:59:22 GMT 2025","passed","Wed Jul 09 14:59:25 GMT 2025","TestUser","test_user","",""
"Can change the completed status of a note between True/False","13760","test_update_note_status","tests","Wed Jul 09 15:01:51 GMT 2025","passed","Wed Jul 09 15:02:04 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Wed Jul 09 14:57:27 GMT 2025","passed","Wed Jul 09 14:57:27 GMT 2025","TestNotes","test_notes","",""
"Can update user info for authed user","12162","test_update_user","tests","Wed Jul 09 15:03:45 GMT 2025","passed","Wed Jul 09 15:03:57 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","2878","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Wed Jul 09 14:58:20 GMT 2025","passed","Wed Jul 09 14:58:23 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","1365","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 14:59:17 GMT 2025","passed","Wed Jul 09 14:59:18 GMT 2025","TestUser","test_user","",""
"Can not login with wrong email or password","1919","test_login_with_wrong_credentials[email]","tests","Wed Jul 09 15:01:45 GMT 2025","passed","Wed Jul 09 15:01:47 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""get user profile"" request","2","test_user_profile_returns_500","tests","Wed Jul 09 15:03:01 GMT 2025","passed","Wed Jul 09 15:03:01 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""create user"" request","2","test_create_user_returns_500","tests","Wed Jul 09 14:59:27 GMT 2025","passed","Wed Jul 09 14:59:27 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","13760","test_get_all_notes","tests","Wed Jul 09 14:58:20 GMT 2025","passed","Wed Jul 09 14:58:33 GMT 2025","TestNotes","test_notes","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","4881","test_create_note_with_too_short_or_long_title[long_title]","tests","Wed Jul 09 14:58:43 GMT 2025","passed","Wed Jul 09 14:58:48 GMT 2025","TestNotes","test_notes","",""
"Can delete note by its ID for authed user","14165","test_delete_note_by_id","tests","Wed Jul 09 15:02:36 GMT 2025","passed","Wed Jul 09 15:02:50 GMT 2025","TestNotes","test_notes","",""
"Can delete authed user","10227","test_delete_user","tests","Wed Jul 09 15:04:23 GMT 2025","passed","Wed Jul 09 15:04:33 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","1675","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","tests","Wed Jul 09 14:59:21 GMT 2025","passed","Wed Jul 09 14:59:22 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","2805","test_create_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 14:57:28 GMT 2025","passed","Wed Jul 09 14:57:30 GMT 2025","TestNotes","test_notes","",""
"Unable to update note if any of the required fields are empty","7275","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 15:00:35 GMT 2025","passed","Wed Jul 09 15:00:42 GMT 2025","TestNotes","test_notes","",""
"Can get user info for authed user","11601","test_get_user_info","tests","Wed Jul 09 15:03:22 GMT 2025","passed","Wed Jul 09 15:03:33 GMT 2025","TestUser","test_user","",""
"Can change the password","18475","test_change_password","tests","Wed Jul 09 15:04:46 GMT 2025","passed","Wed Jul 09 15:05:04 GMT 2025","TestUser","test_user","",""
"Unauthorized user can not get a user info","1837","test_get_user_info_without_auth_header","tests","Wed Jul 09 15:02:45 GMT 2025","passed","Wed Jul 09 15:02:47 GMT 2025","TestUser","test_user","",""
"Unable to create a note by non-existent note id","8716","test_update_note_by_non_existent_id","tests","Wed Jul 09 14:59:27 GMT 2025","passed","Wed Jul 09 14:59:36 GMT 2025","TestNotes","test_notes","",""
"Can register a new user","7838","test_create_new_user","tests","Wed Jul 09 14:58:56 GMT 2025","passed","Wed Jul 09 14:59:04 GMT 2025","TestUser","test_user","",""
"Can not register a user with existing email","8640","test_create_same_user_twice","tests","Wed Jul 09 14:59:04 GMT 2025","passed","Wed Jul 09 14:59:12 GMT 2025","TestUser","test_user","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","4558","test_create_note_with_too_short_or_long_title[short_title]","tests","Wed Jul 09 14:56:49 GMT 2025","passed","Wed Jul 09 14:56:54 GMT 2025","TestNotes","test_notes","",""
"Unable to create a note as unauthorized user","2398","test_create_note_without_auth_header","tests","Wed Jul 09 14:57:06 GMT 2025","passed","Wed Jul 09 14:57:09 GMT 2025","TestNotes","test_notes","",""
"Unable to update user without filling required field","4399","test_update_with_empty_required_field","tests","Wed Jul 09 15:04:10 GMT 2025","passed","Wed Jul 09 15:04:14 GMT 2025","TestUser","test_user","",""
"Can create a new note","7359","test_create_new_note","tests","Wed Jul 09 14:56:49 GMT 2025","passed","Wed Jul 09 14:56:57 GMT 2025","TestNotes","test_notes","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","2712","test_create_user_with_too_short_or_long_name[qwe]","tests","Wed Jul 09 14:59:18 GMT 2025","passed","Wed Jul 09 14:59:21 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","2148","test_create_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 14:57:53 GMT 2025","passed","Wed Jul 09 14:57:55 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","2791","test_create_user_with_empty_required_field[email-A valid email address is required]","tests","Wed Jul 09 14:59:14 GMT 2025","passed","Wed Jul 09 14:59:17 GMT 2025","TestUser","test_user","",""
"Unable to update note if any of the required fields are empty","4401","test_edit_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 15:01:17 GMT 2025","passed","Wed Jul 09 15:01:21 GMT 2025","TestNotes","test_notes","",""
"Can logout user","8474","test_logout_user","tests","Wed Jul 09 15:02:37 GMT 2025","passed","Wed Jul 09 15:02:45 GMT 2025","TestUser","test_user","",""
