"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 09 14:34:28 GMT 2025","Wed Jul 09 14:34:33 GMT 2025","4161","tests","test_notes","TestNotes","","","test_create_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","Unable to create note if any of the required fields are empty"
"passed","Wed Jul 09 14:33:32 GMT 2025","Wed Jul 09 14:33:36 GMT 2025","4675","tests","test_notes","TestNotes","","","test_create_note_without_auth_header","Unable to create a note as unauthorized user"
"passed","Wed Jul 09 14:38:18 GMT 2025","Wed Jul 09 14:38:38 GMT 2025","19925","tests","test_user","TestUser","","","test_change_password","Can change the password"
"passed","Wed Jul 09 14:37:25 GMT 2025","Wed Jul 09 14:37:27 GMT 2025","2398","tests","test_user","TestUser","","","test_login_with_empty_credentials[email-A valid email address is required]","Can not login with empty required fields"
"passed","Wed Jul 09 14:37:32 GMT 2025","Wed Jul 09 14:37:46 GMT 2025","14239","tests","test_user","TestUser","","","test_logout_user","Can logout user"
"passed","Wed Jul 09 14:35:52 GMT 2025","Wed Jul 09 14:35:56 GMT 2025","3119","tests","test_user","TestUser","","","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","Unable to create user if any of the required fields are empty"
"passed","Wed Jul 09 14:35:04 GMT 2025","Wed Jul 09 14:35:24 GMT 2025","20794","tests","test_notes","TestNotes","","","test_delete_note_by_id","Can delete note by its ID for authed user"
"passed","Wed Jul 09 14:36:04 GMT 2025","Wed Jul 09 14:36:15 GMT 2025","11678","tests","test_notes","TestNotes","","","test_update_note","Can edit note for authed user"
"passed","Wed Jul 09 14:36:04 GMT 2025","Wed Jul 09 14:36:08 GMT 2025","3998","tests","test_user","TestUser","","","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","Can not create user with password that is less than 6 symbols and greater than 30 symbols"
"passed","Wed Jul 09 14:36:44 GMT 2025","Wed Jul 09 14:36:58 GMT 2025","14081","tests","test_user","TestUser","","","test_auth_user","Can login with valid credentials"
"passed","Wed Jul 09 14:37:00 GMT 2025","Wed Jul 09 14:37:05 GMT 2025","5759","tests","test_user","TestUser","","","test_login_with_wrong_credentials[email]","Can not login with wrong email or password"
"passed","Wed Jul 09 14:37:57 GMT 2025","Wed Jul 09 14:38:04 GMT 2025","6320","tests","test_user","TestUser","","","test_update_user","Can update user info for authed user"
"passed","Wed Jul 09 14:35:01 GMT 2025","Wed Jul 09 14:35:04 GMT 2025","2171","tests","test_notes","TestNotes","","","test_edit_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","Unable to update note if any of the required fields are empty"
"passed","Wed Jul 09 14:33:59 GMT 2025","Wed Jul 09 14:33:59 GMT 2025","2","tests","test_notes","TestNotes","","","test_create_note_returns_500","Check for 500 internal server error for ""create note"" request"
"passed","Wed Jul 09 14:36:08 GMT 2025","Wed Jul 09 14:36:08 GMT 2025","2","tests","test_user","TestUser","","","test_create_user_returns_500","Check for 500 internal server error for ""create user"" request"
"passed","Wed Jul 09 14:37:26 GMT 2025","Wed Jul 09 14:37:30 GMT 2025","4477","tests","test_user","TestUser","","","test_get_user_info_without_auth_header","Unauthorized user can not get a user info"
"passed","Wed Jul 09 14:35:41 GMT 2025","Wed Jul 09 14:35:52 GMT 2025","11518","tests","test_user","TestUser","","","test_create_new_user","Can register a new user"
"passed","Wed Jul 09 14:35:56 GMT 2025","Wed Jul 09 14:35:58 GMT 2025","2080","tests","test_user","TestUser","","","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","Unable to create user with name that is less than 4 symbols or greater than 30 symbols"
"passed","Wed Jul 09 14:35:03 GMT 2025","Wed Jul 09 14:35:17 GMT 2025","14472","tests","test_notes","TestNotes","","","test_get_all_notes","Can get the list of all notes of the authed user"
"passed","Wed Jul 09 14:37:54 GMT 2025","Wed Jul 09 14:37:54 GMT 2025","1","tests","test_user","TestUser","","","test_user_profile_returns_500","Check for 500 internal server error for ""get user profile"" request"
"passed","Wed Jul 09 14:35:58 GMT 2025","Wed Jul 09 14:36:04 GMT 2025","6308","tests","test_user","TestUser","","","test_create_user_with_too_short_or_long_password[12345]","Can not create user with password that is less than 6 symbols and greater than 30 symbols"
"passed","Wed Jul 09 14:35:31 GMT 2025","Wed Jul 09 14:35:37 GMT 2025","6080","tests","test_notes","TestNotes","","","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","Unable to update note if any of the required fields are empty"
"passed","Wed Jul 09 14:34:25 GMT 2025","Wed Jul 09 14:34:28 GMT 2025","3915","tests","test_notes","TestNotes","","","test_create_note_with_too_short_or_long_title[short_title]","Unable to create note with a title shorter than 4 symbols or longer than 100 symbols"
"passed","Wed Jul 09 14:37:13 GMT 2025","Wed Jul 09 14:37:19 GMT 2025","6089","tests","test_user","TestUser","","","test_get_user_info","Can get user info for authed user"
"passed","Wed Jul 09 14:36:10 GMT 2025","Wed Jul 09 14:36:13 GMT 2025","3035","tests","test_user","TestUser","","","test_create_user_with_too_short_or_long_name[qwe]","Unable to create user with name that is less than 4 symbols or greater than 30 symbols"
"passed","Wed Jul 09 14:33:58 GMT 2025","Wed Jul 09 14:34:01 GMT 2025","3358","tests","test_notes","TestNotes","","","test_create_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","Unable to create note if any of the required fields are empty"
"passed","Wed Jul 09 14:33:58 GMT 2025","Wed Jul 09 14:34:02 GMT 2025","4797","tests","test_notes","TestNotes","","","test_create_new_note","Can create a new note"
"passed","Wed Jul 09 14:38:10 GMT 2025","Wed Jul 09 14:38:15 GMT 2025","4957","tests","test_user","TestUser","","","test_send_password_reset_link","Can send the link to reset the password"
"passed","Wed Jul 09 14:37:25 GMT 2025","Wed Jul 09 14:37:30 GMT 2025","5439","tests","test_user","TestUser","","","test_login_with_wrong_credentials[password]","Can not login with wrong email or password"
"passed","Wed Jul 09 14:35:40 GMT 2025","Wed Jul 09 14:35:55 GMT 2025","15599","tests","test_notes","TestNotes","","","test_update_note_status","Can change the completed status of a note between True/False"
"passed","Wed Jul 09 14:34:28 GMT 2025","Wed Jul 09 14:34:34 GMT 2025","6116","tests","test_notes","TestNotes","","","test_get_note_by_id","Can get the note by note ID for authed user"
"passed","Wed Jul 09 14:34:56 GMT 2025","Wed Jul 09 14:35:00 GMT 2025","4002","tests","test_notes","TestNotes","","","test_update_note_by_non_existent_id","Unable to create a note by non-existent note id"
"passed","Wed Jul 09 14:38:02 GMT 2025","Wed Jul 09 14:38:05 GMT 2025","2971","tests","test_user","TestUser","","","test_update_with_empty_required_field","Unable to update user without filling required field"
"passed","Wed Jul 09 14:37:46 GMT 2025","Wed Jul 09 14:37:57 GMT 2025","11272","tests","test_user","TestUser","","","test_delete_user","Can delete authed user"
"passed","Wed Jul 09 14:34:24 GMT 2025","Wed Jul 09 14:34:28 GMT 2025","4157","tests","test_notes","TestNotes","","","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","Unable to create note if any of the required fields are empty"
"passed","Wed Jul 09 14:36:56 GMT 2025","Wed Jul 09 14:37:00 GMT 2025","4082","tests","test_user","TestUser","","","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","Can not login with empty required fields"
